holiday_names,day,month,year,country_cd,country,date,national_cd
New Year's Day,1,1,2018,29,Australia,2018-01-01,AU
Australia Day,26,1,2018,29,Australia,2018-01-26,AU
Harmony Day,21,3,2018,29,Australia,2018-03-21,AU
Good Friday,30,3,2018,29,Australia,2018-03-30,AU
Easter Sunday (All),1,4,2018,29,Australia,2018-04-01,AU
Easter Monday,2,4,2018,29,Australia,2018-04-02,AU
ANZAC Day,25,4,2018,29,Australia,2018-04-25,AU
Remembrance Day,11,11,2018,29,Australia,2018-11-11,AU
Christmas Eve,24,12,2018,29,Australia,2018-12-24,AU
Christmas Day,25,12,2018,29,Australia,2018-12-25,AU
Boxing Day,26,12,2018,29,Australia,2018-12-26,AU
New Year's Eve,31,12,2018,29,Australia,2018-12-31,AU
New Year's Day,1,1,2019,29,Australia,2019-01-01,AU
Australia Day,26,1,2019,29,Australia,2019-01-26,AU
Harmony Day,21,3,2019,29,Australia,2019-03-21,AU
Good Friday,19,4,2019,29,Australia,2019-04-19,AU
Easter Sunday (All),21,4,2019,29,Australia,2019-04-21,AU
Easter Monday,22,4,2019,29,Australia,2019-04-22,AU
ANZAC Day,25,4,2019,29,Australia,2019-04-25,AU
Remembrance Day,11,11,2019,29,Australia,2019-11-11,AU
Christmas Eve,24,12,2019,29,Australia,2019-12-24,AU
Christmas Day,25,12,2019,29,Australia,2019-12-25,AU
Boxing Day,26,12,2019,29,Australia,2019-12-26,AU
New Year's Eve,31,12,2019,29,Australia,2019-12-31,AU
New Year's Day,1,1,2020,29,Australia,2020-01-01,AU
Australia Day,26,1,2020,29,Australia,2020-01-26,AU
Harmony Day,21,3,2020,29,Australia,2020-03-21,AU
Good Friday,10,4,2020,29,Australia,2020-04-10,AU
Easter Sunday (All),12,4,2020,29,Australia,2020-04-12,AU
Easter Monday,13,4,2020,29,Australia,2020-04-13,AU
ANZAC Day,25,4,2020,29,Australia,2020-04-25,AU
Remembrance Day,11,11,2020,29,Australia,2020-11-11,AU
Christmas Eve,24,12,2020,29,Australia,2020-12-24,AU
Christmas Day,25,12,2020,29,Australia,2020-12-25,AU
Boxing Day,26,12,2020,29,Australia,2020-12-26,AU
New Year's Eve,31,12,2020,29,Australia,2020-12-31,AU
New Year's Day,1,1,2021,29,Australia,2021-01-01,AU
Australia Day,26,1,2021,29,Australia,2021-01-26,AU
Harmony Day,21,3,2021,29,Australia,2021-03-21,AU
Good Friday,2,4,2021,29,Australia,2021-04-02,AU
Easter Sunday (All),4,4,2021,29,Australia,2021-04-04,AU
Easter Monday,5,4,2021,29,Australia,2021-04-05,AU
ANZAC Day,25,4,2021,29,Australia,2021-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2021,29,Australia,2021-10-15,AU
Remembrance Day,11,11,2021,29,Australia,2021-11-11,AU
Christmas Eve,24,12,2021,29,Australia,2021-12-24,AU
Christmas Day,25,12,2021,29,Australia,2021-12-25,AU
Boxing Day,26,12,2021,29,Australia,2021-12-26,AU
New Year's Eve,31,12,2021,29,Australia,2021-12-31,AU
New Year's Day,1,1,2022,29,Australia,2022-01-01,AU
Australia Day,26,1,2022,29,Australia,2022-01-26,AU
Harmony Day,21,3,2022,29,Australia,2022-03-21,AU
Good Friday,15,4,2022,29,Australia,2022-04-15,AU
Easter Sunday (All),17,4,2022,29,Australia,2022-04-17,AU
Easter Monday,18,4,2022,29,Australia,2022-04-18,AU
ANZAC Day,25,4,2022,29,Australia,2022-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2022,29,Australia,2022-10-15,AU
Remembrance Day,11,11,2022,29,Australia,2022-11-11,AU
Christmas Eve,24,12,2022,29,Australia,2022-12-24,AU
Christmas Day,25,12,2022,29,Australia,2022-12-25,AU
Boxing Day,26,12,2022,29,Australia,2022-12-26,AU
New Year's Eve,31,12,2022,29,Australia,2022-12-31,AU
New Year's Day,1,1,2023,29,Australia,2023-01-01,AU
Australia Day,26,1,2023,29,Australia,2023-01-26,AU
Harmony Day,21,3,2023,29,Australia,2023-03-21,AU
Good Friday,7,4,2023,29,Australia,2023-04-07,AU
Easter Sunday (All),9,4,2023,29,Australia,2023-04-09,AU
Easter Monday,10,4,2023,29,Australia,2023-04-10,AU
ANZAC Day,25,4,2023,29,Australia,2023-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2023,29,Australia,2023-10-15,AU
Remembrance Day,11,11,2023,29,Australia,2023-11-11,AU
Christmas Eve,24,12,2023,29,Australia,2023-12-24,AU
Christmas Day,25,12,2023,29,Australia,2023-12-25,AU
Boxing Day,26,12,2023,29,Australia,2023-12-26,AU
New Year's Eve,31,12,2023,29,Australia,2023-12-31,AU
New Year's Day,1,1,2024,29,Australia,2024-01-01,AU
Australia Day,26,1,2024,29,Australia,2024-01-26,AU
Harmony Day,21,3,2024,29,Australia,2024-03-21,AU
Good Friday,29,3,2024,29,Australia,2024-03-29,AU
Easter Sunday (All),31,3,2024,29,Australia,2024-03-31,AU
Easter Monday,1,4,2024,29,Australia,2024-04-01,AU
ANZAC Day,25,4,2024,29,Australia,2024-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2024,29,Australia,2024-10-15,AU
Remembrance Day,11,11,2024,29,Australia,2024-11-11,AU
Christmas Eve,24,12,2024,29,Australia,2024-12-24,AU
Christmas Day,25,12,2024,29,Australia,2024-12-25,AU
Boxing Day,26,12,2024,29,Australia,2024-12-26,AU
New Year's Eve,31,12,2024,29,Australia,2024-12-31,AU
New Year's Day,1,1,2025,29,Australia,2025-01-01,AU
Australia Day,26,1,2025,29,Australia,2025-01-26,AU
Harmony Day,21,3,2025,29,Australia,2025-03-21,AU
Good Friday,18,4,2025,29,Australia,2025-04-18,AU
Easter Sunday (All),20,4,2025,29,Australia,2025-04-20,AU
Easter Monday,21,4,2025,29,Australia,2025-04-21,AU
ANZAC Day,25,4,2025,29,Australia,2025-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2025,29,Australia,2025-10-15,AU
Remembrance Day,11,11,2025,29,Australia,2025-11-11,AU
Christmas Eve,24,12,2025,29,Australia,2025-12-24,AU
Christmas Day,25,12,2025,29,Australia,2025-12-25,AU
Boxing Day,26,12,2025,29,Australia,2025-12-26,AU
New Year's Eve,31,12,2025,29,Australia,2025-12-31,AU
New Year's Day,1,1,2026,29,Australia,2026-01-01,AU
Australia Day,26,1,2026,29,Australia,2026-01-26,AU
Harmony Day,21,3,2026,29,Australia,2026-03-21,AU
Good Friday,3,4,2026,29,Australia,2026-04-03,AU
Easter Sunday (All),5,4,2026,29,Australia,2026-04-05,AU
Easter Monday,6,4,2026,29,Australia,2026-04-06,AU
ANZAC Day,25,4,2026,29,Australia,2026-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2026,29,Australia,2026-10-15,AU
Remembrance Day,11,11,2026,29,Australia,2026-11-11,AU
Christmas Eve,24,12,2026,29,Australia,2026-12-24,AU
Christmas Day,25,12,2026,29,Australia,2026-12-25,AU
Boxing Day,26,12,2026,29,Australia,2026-12-26,AU
New Year's Eve,31,12,2026,29,Australia,2026-12-31,AU
New Year's Day,1,1,2027,29,Australia,2027-01-01,AU
Australia Day,26,1,2027,29,Australia,2027-01-26,AU
Harmony Day,21,3,2027,29,Australia,2027-03-21,AU
Good Friday,26,3,2027,29,Australia,2027-03-26,AU
Easter Sunday (All),28,3,2027,29,Australia,2027-03-28,AU
Easter Monday,29,3,2027,29,Australia,2027-03-29,AU
ANZAC Day,25,4,2027,29,Australia,2027-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2027,29,Australia,2027-10-15,AU
Remembrance Day,11,11,2027,29,Australia,2027-11-11,AU
Christmas Eve,24,12,2027,29,Australia,2027-12-24,AU
Christmas Day,25,12,2027,29,Australia,2027-12-25,AU
Boxing Day,26,12,2027,29,Australia,2027-12-26,AU
New Year's Eve,31,12,2027,29,Australia,2027-12-31,AU
New Year's Day,1,1,2028,29,Australia,2028-01-01,AU
Australia Day,26,1,2028,29,Australia,2028-01-26,AU
Harmony Day,21,3,2028,29,Australia,2028-03-21,AU
Good Friday,14,4,2028,29,Australia,2028-04-14,AU
Easter Sunday (All),16,4,2028,29,Australia,2028-04-16,AU
Easter Monday,17,4,2028,29,Australia,2028-04-17,AU
ANZAC Day,25,4,2028,29,Australia,2028-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2028,29,Australia,2028-10-15,AU
Remembrance Day,11,11,2028,29,Australia,2028-11-11,AU
Christmas Eve,24,12,2028,29,Australia,2028-12-24,AU
Christmas Day,25,12,2028,29,Australia,2028-12-25,AU
Boxing Day,26,12,2028,29,Australia,2028-12-26,AU
New Year's Eve,31,12,2028,29,Australia,2028-12-31,AU
New Year's Day,1,1,2029,29,Australia,2029-01-01,AU
Australia Day,26,1,2029,29,Australia,2029-01-26,AU
Harmony Day,21,3,2029,29,Australia,2029-03-21,AU
Good Friday,30,3,2029,29,Australia,2029-03-30,AU
Easter Sunday (All),1,4,2029,29,Australia,2029-04-01,AU
Easter Monday,2,4,2029,29,Australia,2029-04-02,AU
ANZAC Day,25,4,2029,29,Australia,2029-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2029,29,Australia,2029-10-15,AU
Remembrance Day,11,11,2029,29,Australia,2029-11-11,AU
Christmas Eve,24,12,2029,29,Australia,2029-12-24,AU
Christmas Day,25,12,2029,29,Australia,2029-12-25,AU
Boxing Day,26,12,2029,29,Australia,2029-12-26,AU
New Year's Eve,31,12,2029,29,Australia,2029-12-31,AU
New Year's Day,1,1,2030,29,Australia,2030-01-01,AU
Australia Day,26,1,2030,29,Australia,2030-01-26,AU
Harmony Day,21,3,2030,29,Australia,2030-03-21,AU
Good Friday,19,4,2030,29,Australia,2030-04-19,AU
Easter Sunday (All),21,4,2030,29,Australia,2030-04-21,AU
Easter Monday,22,4,2030,29,Australia,2030-04-22,AU
ANZAC Day,25,4,2030,29,Australia,2030-04-25,AU
International Pregnancy and Infant Loss Remembrance Day,15,10,2030,29,Australia,2030-10-15,AU
Remembrance Day,11,11,2030,29,Australia,2030-11-11,AU
Christmas Eve,24,12,2030,29,Australia,2030-12-24,AU
Christmas Day,25,12,2030,29,Australia,2030-12-25,AU
Boxing Day,26,12,2030,29,Australia,2030-12-26,AU
New Year's Eve,31,12,2030,29,Australia,2030-12-31,AU
Republic Day,26,1,2018,35,India,2018-01-26,IN
Maha Shivaratri/Shivaratri,13,2,2018,35,India,2018-02-13,IN
Mahavir Jayanti,29,3,2018,35,India,2018-03-29,IN
Good Friday,30,3,2018,35,India,2018-03-30,IN
Ambedkar Jayanti,14,4,2018,35,India,2018-04-14,IN
Buddha Purnima/Vesak,30,4,2018,35,India,2018-04-30,IN
Ramzan Id/Eid-ul-Fitar,16,6,2018,35,India,2018-06-16,IN
Independence Day,15,8,2018,35,India,2018-08-15,IN
Bakr Id/Eid ul-Adha,22,8,2018,35,India,2018-08-22,IN
Janmashtami (Smarta),2,9,2018,35,India,2018-09-02,IN
Janmashtami,3,9,2018,35,India,2018-09-03,IN
Muharram/Ashura,21,9,2018,35,India,2018-09-21,IN
Mahatma Gandhi Jayanti,2,10,2018,35,India,2018-10-02,IN
First Day of Sharad Navratri,10,10,2018,35,India,2018-10-10,IN
First Day of Durga Puja Festivities,15,10,2018,35,India,2018-10-15,IN
Dussehra,19,10,2018,35,India,2018-10-19,IN
Diwali/Deepavali,7,11,2018,35,India,2018-11-07,IN
Milad un-Nabi/Id-e-Milad,21,11,2018,35,India,2018-11-21,IN
Guru Nanak Jayanti,23,11,2018,35,India,2018-11-23,IN
Christmas,25,12,2018,35,India,2018-12-25,IN
Guru Govind Singh Jayanti,13,1,2019,35,India,2019-01-13,IN
Republic Day,26,1,2019,35,India,2019-01-26,IN
Maha Shivaratri/Shivaratri,4,3,2019,35,India,2019-03-04,IN
Dolyatra,21,3,2019,35,India,2019-03-21,IN
Ambedkar Jayanti,14,4,2019,35,India,2019-04-14,IN
Mahavir Jayanti,17,4,2019,35,India,2019-04-17,IN
Good Friday,19,4,2019,35,India,2019-04-19,IN
Buddha Purnima/Vesak,18,5,2019,35,India,2019-05-18,IN
Ramzan Id/Eid-ul-Fitar,5,6,2019,35,India,2019-06-05,IN
Bakr Id/Eid ul-Adha,12,8,2019,35,India,2019-08-12,IN
Independence Day,15,8,2019,35,India,2019-08-15,IN
Janmashtami,24,8,2019,35,India,2019-08-24,IN
Muharram/Ashura,10,9,2019,35,India,2019-09-10,IN
First Day of Sharad Navratri,29,9,2019,35,India,2019-09-29,IN
Mahatma Gandhi Jayanti,2,10,2019,35,India,2019-10-02,IN
First Day of Durga Puja Festivities,4,10,2019,35,India,2019-10-04,IN
Dussehra,8,10,2019,35,India,2019-10-08,IN
Diwali/Deepavali,27,10,2019,35,India,2019-10-27,IN
Milad un-Nabi/Id-e-Milad,10,11,2019,35,India,2019-11-10,IN
Guru Nanak Jayanti,12,11,2019,35,India,2019-11-12,IN
Christmas,25,12,2019,35,India,2019-12-25,IN
Guru Govind Singh Jayanti,2,1,2020,35,India,2020-01-02,IN
Lohri,14,1,2020,35,India,2020-01-14,IN
Republic Day,26,1,2020,35,India,2020-01-26,IN
Maha Shivaratri/Shivaratri,21,2,2020,35,India,2020-02-21,IN
Dolyatra,9,3,2020,35,India,2020-03-09,IN
Holi,10,3,2020,35,India,2020-03-10,IN
Rama Navami,2,4,2020,35,India,2020-04-02,IN
Mahavir Jayanti,6,4,2020,35,India,2020-04-06,IN
Good Friday,10,4,2020,35,India,2020-04-10,IN
Ambedkar Jayanti,14,4,2020,35,India,2020-04-14,IN
Buddha Purnima/Vesak,7,5,2020,35,India,2020-05-07,IN
Ramzan Id/Eid-ul-Fitar,25,5,2020,35,India,2020-05-25,IN
Bakr Id/Eid ul-Adha,1,8,2020,35,India,2020-08-01,IN
Janmashtami,12,8,2020,35,India,2020-08-12,IN
Independence Day,15,8,2020,35,India,2020-08-15,IN
Muharram/Ashura,30,8,2020,35,India,2020-08-30,IN
Mahatma Gandhi Jayanti,2,10,2020,35,India,2020-10-02,IN
First Day of Sharad Navratri,17,10,2020,35,India,2020-10-17,IN
First Day of Durga Puja Festivities,22,10,2020,35,India,2020-10-22,IN
Dussehra,25,10,2020,35,India,2020-10-25,IN
Milad un-Nabi/Id-e-Milad,30,10,2020,35,India,2020-10-30,IN
Diwali/Deepavali,14,11,2020,35,India,2020-11-14,IN
Guru Nanak Jayanti,30,11,2020,35,India,2020-11-30,IN
Christmas,25,12,2020,35,India,2020-12-25,IN
Lohri,13,1,2021,35,India,2021-01-13,IN
Guru Govind Singh Jayanti,20,1,2021,35,India,2021-01-20,IN
Republic Day,26,1,2021,35,India,2021-01-26,IN
Maha Shivaratri/Shivaratri,11,3,2021,35,India,2021-03-11,IN
Dolyatra,28,3,2021,35,India,2021-03-28,IN
Holi,29,3,2021,35,India,2021-03-29,IN
Good Friday,2,4,2021,35,India,2021-04-02,IN
Ambedkar Jayanti,14,4,2021,35,India,2021-04-14,IN
Rama Navami,21,4,2021,35,India,2021-04-21,IN
Mahavir Jayanti,25,4,2021,35,India,2021-04-25,IN
Ramzan Id/Eid-ul-Fitar,14,5,2021,35,India,2021-05-14,IN
Buddha Purnima/Vesak,26,5,2021,35,India,2021-05-26,IN
Bakr Id/Eid ul-Adha,21,7,2021,35,India,2021-07-21,IN
Independence Day,15,8,2021,35,India,2021-08-15,IN
Muharram/Ashura,20,8,2021,35,India,2021-08-20,IN
Janmashtami,30,8,2021,35,India,2021-08-30,IN
Mahatma Gandhi Jayanti,2,10,2021,35,India,2021-10-02,IN
First Day of Sharad Navratri,7,10,2021,35,India,2021-10-07,IN
First Day of Durga Puja Festivities,11,10,2021,35,India,2021-10-11,IN
Dussehra,15,10,2021,35,India,2021-10-15,IN
Milad un-Nabi/Id-e-Milad,19,10,2021,35,India,2021-10-19,IN
Diwali/Deepavali,4,11,2021,35,India,2021-11-04,IN
Guru Nanak Jayanti,19,11,2021,35,India,2021-11-19,IN
Christmas,25,12,2021,35,India,2021-12-25,IN
Guru Govind Singh Jayanti,9,1,2022,35,India,2022-01-09,IN
Lohri,13,1,2022,35,India,2022-01-13,IN
Republic Day,26,1,2022,35,India,2022-01-26,IN
Maha Shivaratri/Shivaratri,1,3,2022,35,India,2022-03-01,IN
Holi,18,3,2022,35,India,2022-03-18,IN
Mahavir Jayanti,14,4,2022,35,India,2022-04-14,IN
Good Friday,15,4,2022,35,India,2022-04-15,IN
Ramzan Id/Eid-ul-Fitar,3,5,2022,35,India,2022-05-03,IN
Buddha Purnima/Vesak,16,5,2022,35,India,2022-05-16,IN
Bakr Id/Eid ul-Adha,10,7,2022,35,India,2022-07-10,IN
Muharram/Ashura,8,8,2022,35,India,2022-08-08,IN
Independence Day,15,8,2022,35,India,2022-08-15,IN
Janmashtami,19,8,2022,35,India,2022-08-19,IN
First Day of Sharad Navratri,26,9,2022,35,India,2022-09-26,IN
First Day of Durga Puja Festivities,1,10,2022,35,India,2022-10-01,IN
Mahatma Gandhi Jayanti,2,10,2022,35,India,2022-10-02,IN
Dussehra,5,10,2022,35,India,2022-10-05,IN
Milad un-Nabi/Id-e-Milad,9,10,2022,35,India,2022-10-09,IN
Diwali/Deepavali,24,10,2022,35,India,2022-10-24,IN
Guru Nanak Jayanti,8,11,2022,35,India,2022-11-08,IN
Christmas,25,12,2022,35,India,2022-12-25,IN
Guru Govind Singh Jayanti,29,12,2022,35,India,2022-12-29,IN
Lohri,14,1,2023,35,India,2023-01-14,IN
Republic Day,26,1,2023,35,India,2023-01-26,IN
Maha Shivaratri/Shivaratri,18,2,2023,35,India,2023-02-18,IN
Dolyatra,7,3,2023,35,India,2023-03-07,IN
Holi,8,3,2023,35,India,2023-03-08,IN
Rama Navami,30,3,2023,35,India,2023-03-30,IN
Mahavir Jayanti,4,4,2023,35,India,2023-04-04,IN
Good Friday,7,4,2023,35,India,2023-04-07,IN
Ambedkar Jayanti,14,4,2023,35,India,2023-04-14,IN
Ramzan Id/Eid-ul-Fitar,22,4,2023,35,India,2023-04-22,IN
Buddha Purnima/Vesak,5,5,2023,35,India,2023-05-05,IN
Bakr Id/Eid ul-Adha,29,6,2023,35,India,2023-06-29,IN
Muharram/Ashura,28,7,2023,35,India,2023-07-28,IN
Independence Day,15,8,2023,35,India,2023-08-15,IN
Janmashtami,7,9,2023,35,India,2023-09-07,IN
Milad un-Nabi/Id-e-Milad,27,9,2023,35,India,2023-09-27,IN
Mahatma Gandhi Jayanti,2,10,2023,35,India,2023-10-02,IN
First Day of Sharad Navratri,15,10,2023,35,India,2023-10-15,IN
First Day of Durga Puja Festivities,20,10,2023,35,India,2023-10-20,IN
Dussehra,24,10,2023,35,India,2023-10-24,IN
Diwali/Deepavali,12,11,2023,35,India,2023-11-12,IN
Guru Nanak Jayanti,27,11,2023,35,India,2023-11-27,IN
Christmas,25,12,2023,35,India,2023-12-25,IN
Lohri,14,1,2024,35,India,2024-01-14,IN
Guru Govind Singh Jayanti,17,1,2024,35,India,2024-01-17,IN
Republic Day,26,1,2024,35,India,2024-01-26,IN
Maha Shivaratri/Shivaratri,8,3,2024,35,India,2024-03-08,IN
Holi,25,3,2024,35,India,2024-03-25,IN
Good Friday,29,3,2024,35,India,2024-03-29,IN
Ramzan Id/Eid-ul-Fitar,10,4,2024,35,India,2024-04-10,IN
Ambedkar Jayanti,14,4,2024,35,India,2024-04-14,IN
Rama Navami,17,4,2024,35,India,2024-04-17,IN
Mahavir Jayanti,21,4,2024,35,India,2024-04-21,IN
Buddha Purnima/Vesak,23,5,2024,35,India,2024-05-23,IN
Bakr Id/Eid ul-Adha,17,6,2024,35,India,2024-06-17,IN
Muharram/Ashura,17,7,2024,35,India,2024-07-17,IN
Independence Day,15,8,2024,35,India,2024-08-15,IN
Janmashtami,26,8,2024,35,India,2024-08-26,IN
Milad un-Nabi/Id-e-Milad,16,9,2024,35,India,2024-09-16,IN
Mahatma Gandhi Jayanti,2,10,2024,35,India,2024-10-02,IN
First Day of Sharad Navratri,3,10,2024,35,India,2024-10-03,IN
First Day of Durga Puja Festivities,9,10,2024,35,India,2024-10-09,IN
Dussehra,12,10,2024,35,India,2024-10-12,IN
Diwali/Deepavali,1,11,2024,35,India,2024-11-01,IN
Guru Nanak Jayanti,15,11,2024,35,India,2024-11-15,IN
Christmas,25,12,2024,35,India,2024-12-25,IN
Lohri,13,1,2025,35,India,2025-01-13,IN
Republic Day,26,1,2025,35,India,2025-01-26,IN
Maha Shivaratri/Shivaratri,26,2,2025,35,India,2025-02-26,IN
Holi,14,3,2025,35,India,2025-03-14,IN
Ramzan Id/Eid-ul-Fitar,31,3,2025,35,India,2025-03-31,IN
Rama Navami,6,4,2025,35,India,2025-04-06,IN
Mahavir Jayanti,10,4,2025,35,India,2025-04-10,IN
Ambedkar Jayanti,14,4,2025,35,India,2025-04-14,IN
Good Friday,18,4,2025,35,India,2025-04-18,IN
Buddha Purnima/Vesak,12,5,2025,35,India,2025-05-12,IN
Bakr Id/Eid ul-Adha,7,6,2025,35,India,2025-06-07,IN
Muharram/Ashura,6,7,2025,35,India,2025-07-06,IN
Independence Day,15,8,2025,35,India,2025-08-15,IN
Janmashtami,16,8,2025,35,India,2025-08-16,IN
Milad un-Nabi/Id-e-Milad,5,9,2025,35,India,2025-09-05,IN
First Day of Sharad Navratri,22,9,2025,35,India,2025-09-22,IN
First Day of Durga Puja Festivities,28,9,2025,35,India,2025-09-28,IN
Mahatma Gandhi Jayanti,2,10,2025,35,India,2025-10-02,IN
Diwali/Deepavali,20,10,2025,35,India,2025-10-20,IN
Guru Nanak Jayanti,5,11,2025,35,India,2025-11-05,IN
Christmas,25,12,2025,35,India,2025-12-25,IN
Guru Govind Singh Jayanti,27,12,2025,35,India,2025-12-27,IN
Republic Day,26,1,2026,35,India,2026-01-26,IN
Maha Shivaratri/Shivaratri,15,2,2026,35,India,2026-02-15,IN
Holi,4,3,2026,35,India,2026-03-04,IN
Ramzan Id/Eid-ul-Fitar,20,3,2026,35,India,2026-03-20,IN
Rama Navami,26,3,2026,35,India,2026-03-26,IN
Good Friday,3,4,2026,35,India,2026-04-03,IN
Ambedkar Jayanti,14,4,2026,35,India,2026-04-14,IN
Bakr Id/Eid ul-Adha,27,5,2026,35,India,2026-05-27,IN
Muharram/Ashura,26,6,2026,35,India,2026-06-26,IN
Independence Day,15,8,2026,35,India,2026-08-15,IN
Janmashtami,4,9,2026,35,India,2026-09-04,IN
Mahatma Gandhi Jayanti,2,10,2026,35,India,2026-10-02,IN
First Day of Sharad Navratri,11,10,2026,35,India,2026-10-11,IN
First Day of Durga Puja Festivities,17,10,2026,35,India,2026-10-17,IN
Dussehra,20,10,2026,35,India,2026-10-20,IN
Diwali/Deepavali,8,11,2026,35,India,2026-11-08,IN
Christmas,25,12,2026,35,India,2026-12-25,IN
Republic Day,26,1,2027,35,India,2027-01-26,IN
Maha Shivaratri/Shivaratri,6,3,2027,35,India,2027-03-06,IN
Ramzan Id/Eid-ul-Fitar,10,3,2027,35,India,2027-03-10,IN
Holi,22,3,2027,35,India,2027-03-22,IN
Good Friday,26,3,2027,35,India,2027-03-26,IN
Ambedkar Jayanti,14,4,2027,35,India,2027-04-14,IN
Rama Navami,15,4,2027,35,India,2027-04-15,IN
Bakr Id/Eid ul-Adha,17,5,2027,35,India,2027-05-17,IN
Muharram/Ashura,15,6,2027,35,India,2027-06-15,IN
Independence Day,15,8,2027,35,India,2027-08-15,IN
Janmashtami,25,8,2027,35,India,2027-08-25,IN
First Day of Sharad Navratri,30,9,2027,35,India,2027-09-30,IN
Mahatma Gandhi Jayanti,2,10,2027,35,India,2027-10-02,IN
First Day of Durga Puja Festivities,5,10,2027,35,India,2027-10-05,IN
Dussehra,9,10,2027,35,India,2027-10-09,IN
Diwali/Deepavali,29,10,2027,35,India,2027-10-29,IN
Christmas,25,12,2027,35,India,2027-12-25,IN
Republic Day,26,1,2028,35,India,2028-01-26,IN
Maha Shivaratri/Shivaratri,23,2,2028,35,India,2028-02-23,IN
Ramzan Id/Eid-ul-Fitar,27,2,2028,35,India,2028-02-27,IN
Holi,11,3,2028,35,India,2028-03-11,IN
Rama Navami,3,4,2028,35,India,2028-04-03,IN
Good Friday,14,4,2028,35,India,2028-04-14,IN
Bakr Id/Eid ul-Adha,5,5,2028,35,India,2028-05-05,IN
Muharram/Ashura,3,6,2028,35,India,2028-06-03,IN
Janmashtami,13,8,2028,35,India,2028-08-13,IN
Independence Day,15,8,2028,35,India,2028-08-15,IN
First Day of Sharad Navratri,19,9,2028,35,India,2028-09-19,IN
First Day of Durga Puja Festivities,24,9,2028,35,India,2028-09-24,IN
Dussehra,27,9,2028,35,India,2028-09-27,IN
Mahatma Gandhi Jayanti,2,10,2028,35,India,2028-10-02,IN
Diwali/Deepavali,17,10,2028,35,India,2028-10-17,IN
Christmas,25,12,2028,35,India,2028-12-25,IN
Republic Day,26,1,2029,35,India,2029-01-26,IN
Maha Shivaratri/Shivaratri,11,2,2029,35,India,2029-02-11,IN
Ramzan Id/Eid-ul-Fitar,15,2,2029,35,India,2029-02-15,IN
Holi,1,3,2029,35,India,2029-03-01,IN
Good Friday,30,3,2029,35,India,2029-03-30,IN
Ambedkar Jayanti,14,4,2029,35,India,2029-04-14,IN
Rama Navami,22,4,2029,35,India,2029-04-22,IN
Bakr Id/Eid ul-Adha,24,4,2029,35,India,2029-04-24,IN
Muharram/Ashura,24,5,2029,35,India,2029-05-24,IN
Independence Day,15,8,2029,35,India,2029-08-15,IN
Janmashtami,1,9,2029,35,India,2029-09-01,IN
Mahatma Gandhi Jayanti,2,10,2029,35,India,2029-10-02,IN
First Day of Sharad Navratri,8,10,2029,35,India,2029-10-08,IN
First Day of Durga Puja Festivities,12,10,2029,35,India,2029-10-12,IN
Dussehra,16,10,2029,35,India,2029-10-16,IN
Diwali/Deepavali,5,11,2029,35,India,2029-11-05,IN
Christmas,25,12,2029,35,India,2029-12-25,IN
Republic Day,26,1,2030,35,India,2030-01-26,IN
Ramzan Id/Eid-ul-Fitar,5,2,2030,35,India,2030-02-05,IN
Maha Shivaratri/Shivaratri,2,3,2030,35,India,2030-03-02,IN
Holi,20,3,2030,35,India,2030-03-20,IN
Rama Navami,12,4,2030,35,India,2030-04-12,IN
Bakr Id/Eid ul-Adha,14,4,2030,35,India,2030-04-14,IN
Good Friday,19,4,2030,35,India,2030-04-19,IN
Muharram/Ashura,13,5,2030,35,India,2030-05-13,IN
Independence Day,15,8,2030,35,India,2030-08-15,IN
Janmashtami,21,8,2030,35,India,2030-08-21,IN
First Day of Sharad Navratri,28,9,2030,35,India,2030-09-28,IN
Mahatma Gandhi Jayanti,2,10,2030,35,India,2030-10-02,IN
Dussehra,6,10,2030,35,India,2030-10-06,IN
Diwali/Deepavali,26,10,2030,35,India,2030-10-26,IN
Christmas,25,12,2030,35,India,2030-12-25,IN
New Year's Day,1,1,2018,32,Ireland,2018-01-01,IE
St. Patrick's Day,17,3,2018,32,Ireland,2018-03-17,IE
Good Friday,30,3,2018,32,Ireland,2018-03-30,IE
Easter,1,4,2018,32,Ireland,2018-04-01,IE
Easter Monday,2,4,2018,32,Ireland,2018-04-02,IE
May Day,7,5,2018,32,Ireland,2018-05-07,IE
June Bank Holiday,4,6,2018,32,Ireland,2018-06-04,IE
August Bank Holiday,6,8,2018,32,Ireland,2018-08-06,IE
October Bank Holiday,29,10,2018,32,Ireland,2018-10-29,IE
Christmas Eve,24,12,2018,32,Ireland,2018-12-24,IE
Christmas Day,25,12,2018,32,Ireland,2018-12-25,IE
St. Stephen's Day,26,12,2018,32,Ireland,2018-12-26,IE
New Year's Eve,31,12,2018,32,Ireland,2018-12-31,IE
